date,Satellite_ET,ScaledS_ET,Station_ET
1/1/2013,263.876,26.388,
2/1/2013,324.463,32.446,
3/1/2013,355,35.5,
4/1/2013,262.27,26.227,
5/1/2013,188.725,18.873,
6/1/2013,128.474,12.847,
7/1/2013,108.482,10.848,
8/1/2013,74.753,7.475,
9/1/2013,65.583,6.558,
10/1/2013,107.078,10.708,-4.102158403
11/1/2013,156.447,15.645,17.12831158
12/1/2013,215.078,21.508,63.76634384
1/1/2014,260.057,26.006,67.8501128
2/1/2014,307.218,30.722,70.19036362
3/1/2014,340.849,34.085,74.41371899
4/1/2014,316.395,31.64,60.543402
5/1/2014,208.454,20.845,39.69151436
6/1/2014,143.897,14.39,23.73932594
7/1/2014,115.745,11.574,20.54489587
8/1/2014,89.376,8.938,6.585639951
9/1/2014,77.516,7.752,-2.201776915
10/1/2014,99.797,9.98,-7.396387419
11/1/2014,136.42,13.642,6.739345082
12/1/2014,162.243,16.224,53.26813813
1/1/2015,227.855,22.785,69.74261453
2/1/2015,298.042,29.804,75.48597305
3/1/2015,363.137,36.314,72.03748271
4/1/2015,270.942,27.094,63.42892044
5/1/2015,214.662,21.466,42.13850546
6/1/2015,145.792,14.579,29.79758362
7/1/2015,113.582,11.358,19.50486378
8/1/2015,88.346,8.835,6.046498119
9/1/2015,70.075,7.008,-1.845802942
10/1/2015,93.44,9.344,-10.2111248
11/1/2015,171.944,17.194,29.61538663
12/1/2015,221.375,22.138,71.09010702
1/1/2016,280.531,28.053,70.002893
2/1/2016,265.249,26.525,81.47648803
3/1/2016,323.706,32.371,81.0306467
4/1/2016,268.578,26.858,57.90153317
5/1/2016,177.726,17.773,39.30269071
6/1/2016,135.127,13.513,29.82505105
7/1/2016,104.919,10.492,22.20651982
8/1/2016,91.691,9.169,11.67377077
9/1/2016,64.361,6.436,-7.623950663
10/1/2016,86.115,8.612,-16.19525713
11/1/2016,135.259,13.526,28.64479782
12/1/2016,229.761,22.976,75.61006635
1/1/2017,261.12,26.112,70.62959846
2/1/2017,245.984,24.598,73.25562542
3/1/2017,331.537,33.154,73.63753464
4/1/2017,301.722,30.172,67.55033396
5/1/2017,234.191,23.419,60.58240699
6/1/2017,159.072,15.907,40.6651327
7/1/2017,124.967,12.497,29.08339053
8/1/2017,101.912,10.191,17.39372796
9/1/2017,77.191,7.719,-3.2719855
10/1/2017,105.621,10.562,3.640898626
11/1/2017,186.499,18.65,53.81313858
12/1/2017,218.236,21.824,80.16302627
1/1/2018,307.096,30.71,76.93164244
2/1/2018,283.77,28.377,65.12202711
3/1/2018,337.471,33.747,
4/1/2018,279.325,27.932,
5/1/2018,208.484,20.848,
6/1/2018,134.662,13.466,
7/1/2018,127.024,12.702,
8/1/2018,87.176,8.718,
9/1/2018,79.175,7.918,
10/1/2018,116.06,11.606,
11/1/2018,147.876,14.788,
12/1/2018,176.21,17.621,
